,Page,Texte
201,153,"153
etaient 
aussi 
des 
artistes 
de 
destruction 
et 
de
decomposition), 
une 
nouvelle 
conception 
de 
l’esprit
allemand se fixa, peu a peu, malgre tous les efforts des
romantiques, en musique et en philosophie, une conception
dont le trait dominant etait un scepticisme viril, figure par
exemple par l’intrepidite du regard, la hardiesse et la durete
de la main qui analyse, la volonte tenace dans de perilleuses
explorations, les expeditions temeraires vers le pole Nord,
sous 
des 
cieux 
menacants 
et 
desoles. 
Les 
hommes
humanitaires, ardents ou superficiels, ont eu de bonnes
raisons pour partir en guerre contre cet esprit  : cet esprit
fataliste, ironique, mephistophelique, comme l’appelle, non
sans frissonner, Michelet. Mais si l’on veut sentir combien
est distinguee cette crainte de l’   homme   dans l’esprit
allemand, par quoi l’Europe fut reveillee de son  sommeil
dogmatique  , qu’on se rappelle la conception ancienne
qu’il fallut vaincre au moyen de cet esprit. Le temps n’est
pas encore si eloigne ou une femme virilement douee osa,
avec une arrogance supreme, recommander a l’interet de
l’Europe les Allemands, ces lourdauds au cur tendre, a la
volonte faible, a la nature poetique. Qu’on penetre donc
jusqu’au fond de l’etonnement de Napoleon quand il vit
Gthe. Cet etonnement laisse deviner ce qu’on avait
suppose pendant des siecles etre l’esprit allemand.  Voila
un homme !   cela voulait dire : Mais c’est un homme
cela ! Et je ne m’etais attendu a ne voir qu’un Allemand ! 
210."
202,154,"154
En admettant donc que, dans l’image des philosophes de
l’avenir, un trait quelconque laisse deviner qu’ils sont des
sceptiques, dans le sens que l’on vient d’indiquer, on
n’aurait fait encore que signaler une de leurs particularites
 on ne les aurait pas caracterises eux-memes par la. Ils
auraient autant de droits a etre appeles des critiques et ce
seront surement des hommes voues a l’experimentation. Par
le nom dont j’ai ose les baptiser, j’ai deja souligne
clairement la tentative et le plaisir de la tentative  : cela
provient-il de ce que, critiques de corps et d’ame, ils aiment
a se servir de l’experimentation dans un sens nouveau, peut-
etre plus etendu, peut-etre plus perilleux ? Doivent-ils, dans
leur passion de connaitre, pousser leurs experimentations
temeraires et douloureuses jusqu’a l’offense du gout
effemine et affadi d’un siecle democratique ?  Point de
doute : ces hommes de l’avenir pourront le moins se passer
des qualites, severes et non sans danger, qui distinguent le
critique du sceptique, je veux dire la surete d’appreciation,
le maniement conscient d’une methode dans son unite, le
courage deniaise, l’energie suffisante pour se tenir a l’ecart,
pour assumer la responsabilite de ses propres actes  ; de
plus, ils avouent en eux un penchant a nier et a analyser et
une certaine cruaute raisonnee qui sait manier le couteau
avec surete et adresse, meme quand le cur saigne."
203,154,"Point de
doute : ces hommes de l’avenir pourront le moins se passer
des qualites, severes et non sans danger, qui distinguent le
critique du sceptique, je veux dire la surete d’appreciation,
le maniement conscient d’une methode dans son unite, le
courage deniaise, l’energie suffisante pour se tenir a l’ecart,
pour assumer la responsabilite de ses propres actes  ; de
plus, ils avouent en eux un penchant a nier et a analyser et
une certaine cruaute raisonnee qui sait manier le couteau
avec surete et adresse, meme quand le cur saigne. Ils
seront plus durs (et non point toujours seulement contre
eux-memes) que les hommes humains ne le desireraient ; ils
n’auront pas commerce avec la verite pour qu’elle leur
  plaise   ou les   eleve   et les   enthousiasme  , ils
tiendront peu a croire que la verite traine a sa suite de telles"
204,155,"155
jouissances pour le sentiment. Ils souriront, ces esprits
severes, quand quelqu’un dira devant eux :  cette pensee
m’eleve, comment ne serait-elle pas vraie  ?   Ou  :   cet
ouvrage m’enchante : comment ne serait-il pas beau ?  Ou
encore  :   cet artiste me rend plus grand, comment ne
serait-il pas grand lui-meme  ?    Ils n’auront peut-etre
pas seulement un sourire, mais un veritable degout 
devant 
toutes 
ces 
fadaises 
romanesques, 
idealistes,
effeminees, hermaphrodites, et celui qui saurait les suivre
jusqu’au secret de leur for interieur aurait quelque peine a y
decouvrir 
l’intention 
de 
concilier 
  les 
sentiments
chretiens   
avec 
le 
  gout 
antique   
ou 
avec le
  parlementarisme moderne   (rapprochement que l’on
trouve meme chez des philosophes de notre siecle, siecle
depourvu d’instincts et, par consequent, tres conciliateur).
La discipline critique et toute habitude qui mene a la
proprete et a la severite dans les choses de l’esprit seront
exigees par ces philosophes de l’avenir et d’eux-memes et
des autres  ; peut-etre la porteront-ils meme comme une
sorte de parure  et pourtant ils ne voudront pas pour cela
etre appeles critiques. Il leur semblera que c’est un veritable
affront a la philosophie que de decreter, comme on le fait
aujourd’hui : la philosophie elle-meme est une critique, une
science critique  et rien que cela  !"
205,155,"La discipline critique et toute habitude qui mene a la
proprete et a la severite dans les choses de l’esprit seront
exigees par ces philosophes de l’avenir et d’eux-memes et
des autres  ; peut-etre la porteront-ils meme comme une
sorte de parure  et pourtant ils ne voudront pas pour cela
etre appeles critiques. Il leur semblera que c’est un veritable
affront a la philosophie que de decreter, comme on le fait
aujourd’hui : la philosophie elle-meme est une critique, une
science critique  et rien que cela  ! Il se peut que cette
appreciation de la philosophie obtienne la faveur de tous les
positivistes de France et d’Allemagne (il se peut meme
qu’elle eut flatte le sentiment et le gout de Kant : qu’on se
rappelle le titre de ses principaux ouvrages), nos nouveaux
philosophes diront malgre tout  : Les critiques sont les"
206,156,"156
instruments du philosophe et, comme tels, ce ne sont pas
des philosophes ! Le grand Chinois de Knigsberg n’etait
lui-meme qu’un grand critique. 
211.
J’insiste donc a pretendre qu’il faut enfin cesser de
confondre les travailleurs philosophiques et, en general, les
hommes de science avec les philosophes  qu’ici surtout il
faut observer strictement la regle : a chacun ce qui lui est
du, et ne pas donner a ceux-la beaucoup trop, a ceux-ci
beaucoup trop peu. Il se peut qu’il soit necessaire, pour
l’education du veritable philosophe, que celui-ci ait gravi
lui-meme tous les degres ou ses serviteurs, les ouvriers
scientifiques de la philosophie, demeurent arretes  et
doivent demeurer arretes ; peut-etre doit-il lui-meme avoir
ete critique, sceptique, dogmatique, historien et aussi poete,
compilateur, voyageur, 
devineur 
d’enigmes, 
moraliste,
voyant,  esprit libre , avoir ete presque tout enfin, pour
parcourir le cercle des valeurs humaines et du sentiment des
valeurs, pour pouvoir regarder, avec des yeux et une
conscience douee de facultes multiples, regarder de la
hauteur dans tous les lointains, de la profondeur vers toutes
les hauteurs, d’un coin vers tous les eloignements. Mais tout
cela ne represente que les conditions premieres de sa tache ;
cette tache veut autre chose encore  elle exige qu’il cree
des valeurs. Tous les ouvriers philosophiques, faconnes sur
le noble modele de Kant et de Hegel, ont a fixer et a reduire
en formules un vaste etat de valeurs  c’est-a-dire de
valeurs etablies, creees anciennement, qui sont devenues"
207,157,"157
predominantes et, pendant un certain temps, ont ete
nommees  verites   valeurs dans le domaine logique,
politique 
(moral) 
ou 
artistique. 
Il 
appartient 
a 
ces
chercheurs 
de 
rendre 
visible, 
concevable, 
saisissable,
maniable tout ce qui s’est passe et a ete estime jusqu’a
present, de raccourcir tout ce qui est long, le  temps  lui-
meme, et de subjuguer tout le passe : tache prodigieuse et
admirable au service de laquelle tout orgueil delicat, toute
volonte tenace, peuvent trouver satisfaction. Mais les
veritables philosophes ont pour mission de commander et
d’imposer la loi. Ils disent :   Cela doit etre ainsi !   Ils
determinent d’abord la direction et le pourquoi de l’homme
et disposent pour cela du travail preparatoire de tous les
ouvriers philosophiques, de tous les assujettisseurs du
passe,  ils saisissent l’avenir d’une main creatrice, et tout
ce qui est et a ete leur sert de moyen, d’instrument, de
marteau. Leur  recherche de la connaissance  est creation,
leur creation est legislation, leur volonte de verite est...
volonte de puissance.  Existe-t-il aujourd’hui de pareils
philosophes ? Y eut-il jamais de pareils philosophes ? Ne
faut-il pas qu’il y ait de pareils philosophes ?...
212.
Il me parait de plus en plus certain que le philosophe, en
sa qualite d’homme necessaire de demain et d’apres-
demain, s’est toujours trouve et a du se trouver toujours en
contradiction 
avec 
son 
epoque  : 
son 
ennemi 
fut
constamment l’ideal d’aujourd’hui. Jusqu’a present, tous
ces promoteurs extraordinaires de l’homme, qu’on nomme"
208,158,"158
philosophes et qui se sont eux-memes rarement regardes
comme des amis de la sagesse, mais plutot comme des fous
insupportables et des enigmes dangereuses  ont eu pour
tache (tache difficile, involontaire, inevitable), et reconnu la
grandeur de leur tache en ceci qu’ils devaient etre la
mauvaise 
conscience 
de 
leur 
epoque. 
En 
portant
precisement le couteau vivisecteur a la gorge des vertus de
l’epoque, ils ont revele ce qui etait leur propre secret  :
connaitre pour l’homme une nouvelle grandeur, une voie
nouvelle 
et 
inexploree 
qui 
le 
conduirait 
a 
son
agrandissement. 
Ils 
ont 
trahi 
chaque 
fois 
combien
d’hypocrisie, de commodite, de laisser-aller et de laisser-
choir, combien de mensonges se cachaient sous le type le
plus honore de la moralite contemporaine, combien de
vertus etaient arrivees a se survivre. Chaque fois ils
disaient  :   Il faut que nous sortions, que nous nous en
allions vers des contrees, auxquelles vous vous etes le
moins accoutumes.   En presence d’un monde d’  idees
modernes   qui voudrait confiner chacun dans son coin,
dans sa specialite, un philosophe, si des philosophes
pouvaient exister aujourd’hui, serait oblige de placer la
grandeur de l’homme, le concept   grandeur  dans toute
son extension et sa diversite, dans toute sa totalite multiple :
il etablirait meme la valeur et le rang d’apres la capacite de
chacun a prendre sur lui des choses diverses, en se rendant
compte jusqu’ou il pourrait etendre sa responsabilite."
209,158,"Chaque fois ils
disaient  :   Il faut que nous sortions, que nous nous en
allions vers des contrees, auxquelles vous vous etes le
moins accoutumes.   En presence d’un monde d’  idees
modernes   qui voudrait confiner chacun dans son coin,
dans sa specialite, un philosophe, si des philosophes
pouvaient exister aujourd’hui, serait oblige de placer la
grandeur de l’homme, le concept   grandeur  dans toute
son extension et sa diversite, dans toute sa totalite multiple :
il etablirait meme la valeur et le rang d’apres la capacite de
chacun a prendre sur lui des choses diverses, en se rendant
compte jusqu’ou il pourrait etendre sa responsabilite.
Aujourd’hui le gout de l’epoque, la vertu de l’epoque
affaiblissent et reduisent la volonte ; rien ne repond mieux a
l’etat d’esprit de l’epoque que la faiblesse de volonte : donc,"
210,159,"159
l’ideal du philosophe doit precisement faire rentrer dans le
concept   grandeur   la force de volonte, la durete et
l’aptitude aux longues resolutions. De meme la doctrine
contraire 
et 
l’ideal 
d’une 
humanite 
timide, 
pleine
d’abnegation, 
humble 
et 
qui 
douterait 
d’elle-meme
s’adaptait a une epoque contraire, comme le seizieme siecle
par exemple, qui souffrait de son accumulation d’energie de
la volonte et d’un torrent d’egoisme impetueux. Au temps
de Socrate, au milieu de tant d’hommes aux instincts
fatigues, 
parmi 
des 
Atheniens 
conservateurs, 
qui 
se
laissaient aller   au bonheur , selon leurs expressions,
au plaisir, selon leurs actions,  et qui avaient encore a la
bouche les vieilles expressions pompeuses auxquelles leur
vie ne leur donnait plus droit, peut-etre l’ironie etait-elle
necessaire a la grandeur d’ame, cette malicieuse assurance
socratique du vieux medecin, du plebeien qui tailla sans
pitie dans sa propre chair, comme dans la chair et le cur
du  noble , avec un regard qui disait assez clairement :
 Pas de dissimulation avec moi ! ici... nous sommes tous
pareils  !"
211,159,"ici... nous sommes tous
pareils  !   Aujourd’hui par contre, alors que la bete de
troupeau 
arrive 
seule 
aux 
honneurs 
et 
seule 
a 
la
dispensation des honneurs en Europe, alors que l’ egalite
des droits   pourrait se traduire plutot par l’egalite dans
l’injustice : je veux dire dans la guerre generale contre tout
ce qui est rare, etrange, privilegie, la guerre contre l’homme
superieur, 
l’ame 
superieure, 
le 
devoir 
superieur, 
la
responsabilite 
superieure, 
la 
plenitude 
creatrice 
et
dominatrice  aujourd’hui etre noble, vouloir etre pour soi,
savoir etre different, devoir vivre seul et pour son propre"
212,160,"160
compte sont choses qui rentrent dans le concept  grandeur
et le philosophe revelera en quelque mesure son propre
ideal en affirmant :  Celui-la sera le plus grand qui saura
etre le plus solitaire, le plus cache, le plus ecarte, l’homme
qui vivra par dela le bien et le mal, le maitre de ses vertus,
qui sera doue d’une volonte abondante ; voila ce qui doit
etre appele de la grandeur : c’est a la fois la diversite et le
tout, l’etendue et la plenitude.   Et nous le demandons
encore une fois  : aujourd’hui  la grandeur est-elle
possible ?
213.
Il est difficile d’apprendre ce que c’est qu’un philosophe,
parce qu’on ne peut pas l’enseigner : il faut le  savoir  par
experience  ou avoir la fierte de l’ignorer. Mais
aujourd’hui chacun parle de choses dont il ne peut avoir
aucune experience. Cela est malheureusement vrai, surtout
pour ce qui en est des philosophes et des questions
philosophiques. Un tres petit nombre de gens connait ces
hommes et ces questions, peut les connaitre et pour ce qui
les concerne les opinions populaires sont toutes erronees.
Par exemple, cette veritable affinite philosophique qui
existe entre une spiritualite hardie, excessive, qui va presto
et une rigueur, une necessite dialectique qui ne fait point de
faux pas, est inconnue par experience au plus grand nombre
des penseurs et des savants ; ils ne peuvent donc y croire
quand quelqu’un en parle devant eux. Ils se representent
toute necessite comme une peine, comme une douloureuse
contrainte d’aller de l’avant, et penser meme passe chez eux"
213,161,"161
pour quelque chose de lent, d’hesitant, presque comme une
torture et assez souvent pour une chose  digne de la sueur
des nobles  , mais point du tout pour quelque chose de
leger, de divin, qui est proche parent de la danse et de la
petulance !  Penser  et prendre une chose  au serieux 
ou  pesamment , c’est tout un pour eux : ce n’est que de
cette facon qu’ils l’ont  vecue .  Les artistes possedent
peut-etre ici un flair plus delicat : eux qui savent trop bien
que c’est quand ils n’agissent plus volontairement, quand ils
sont pousses par une impulsion necessaire, que leur
sentiment de liberte, de souplesse, de puissance, de
creation, de plenitude, leur sentiment de la forme arrive a
son apogee,  bref que necessite et  liberte du vouloir  se
confondent alors chez eux. Il y a enfin un ordre determine
d’etats psychiques auquel correspond une hierarchie des
problemes  ; et les plus hauts problemes repoussent sans
pitie tous ceux qui les approchent sans etre predestines a
leur solution par la hauteur et la puissance de leur
spiritualite. A quoi cela sert-il, si ce sont des cerveaux
universels et souples ou des intelligences de braves artisans
ou d’empiriques, comme cela est si frequent aujourd’hui,
qui s’approchent de ces problemes avec leur orgueil
plebeien et se pressent en quelque sorte a cette  cour des
cours    ! Mais des pieds grossiers ne doivent jamais se
poser sur de semblables tapis, c’est ce qu’a prevu la loi
primordiale des choses. Les portes restent fermees pour ces
intrus, quand meme ils s’y heurteraient et s’y briseraient la
tete  !"
214,161,"A quoi cela sert-il, si ce sont des cerveaux
universels et souples ou des intelligences de braves artisans
ou d’empiriques, comme cela est si frequent aujourd’hui,
qui s’approchent de ces problemes avec leur orgueil
plebeien et se pressent en quelque sorte a cette  cour des
cours    ! Mais des pieds grossiers ne doivent jamais se
poser sur de semblables tapis, c’est ce qu’a prevu la loi
primordiale des choses. Les portes restent fermees pour ces
intrus, quand meme ils s’y heurteraient et s’y briseraient la
tete  ! Il faut etre ne pour vivre dans tous les mondes
superieurs ; plus exactement, il faut etre discipline pour eux."
215,162,"162
On ne possede de droits a la philosophie  dans son sens le
plus large  que par grace de naissance ; les ancetres,  la
race   sont encore ici l’element decisif. Beaucoup de
generations 
doivent 
avoir 
prepare 
la 
naissance 
du
philosophe ; chacune de ses vertus doit avoir ete acquise
separement, choyee, transmise, incarnee. Il faut connaitre
non seulement la marche hardie, legere, delicate et rapide
de ses propres pensees, mais avant tout la disposition aux
grandes responsabilites, la hauteur et la profondeur du
regard imperieux, le sentiment d’etre separe de la foule, des
devoirs et des vertus de la foule, la protection et la defense
bienveillante de ce qui est mal compris et calomnie, que ce
soit Dieu ou le diable  ; le penchant et l’habilete a la
supreme justice, l’art du commandement, l’ampleur de la
volonte, la lenteur du regard qui rarement admire, rarement
se leve, et aime rarement...
 
CHAPITRE SEPTIEME
 
NOS VERTUS
 
214.
Nos vertus ?  Il est vraisemblable que nous aussi, nous
avons encore nos vertus, bien que ce ne soient plus, et avec"
216,163,"163
raison, ces vertus candides et massives que nous honorions
chez nos grands-peres, tout en les tenant un peu a distance.
Nous autres Europeens d’apres-demain, premiers-nes du
vingtieme siecle,  avec toute notre curiosite dangereuse,
notre complication et notre art du deguisement, notre
cruaute souple et pour ainsi dire edulcoree de l’esprit et des
sens,  nous n’aurons probablement pour vertus, si tant est
que nous en devions avoir, que celles qui ont le mieux su
s’accommoder avec nos penchants les plus secrets et les
plus intimes, avec nos besoins les plus intenses. Eh bien,
cherchons-les donc dans nos labyrinthes  !  ou tant de
choses, on le sait bien, s’egarent et si souvent se perdent. Y
a-t-il rien de plus beau que de se livrer a la recherche de ses
propres vertus  ? N’est-ce pas presque deja  : croire en sa
propre vertu ? Et cette  foi en sa vertu   n’est-ce pas, en
somme, ce qu’on appelait jadis la  bonne conscience , ce
venerable concept en queue-de-rat que nos grands-peres
portaient derriere la tete, et assez frequemment derriere la
raison  ? Il semble donc, si peu que nous nous figurions
d’ailleurs tenir de l’ancienne mode et d’une venerabilite
ancestrale, qu’en un point pourtant nous soyons les dignes
descendants de ces aieux, nous autres derniers Europeens
qui possedons une bonne conscience. Nous aussi nous
portons encore leur queue-de-rat.  Helas ! si vous saviez
combien il se passera peu de temps avant qu’il en soit
autrement ! 
215."
217,164,"164
De meme que, dans le systeme stellaire, deux soleils
parfois determinent la course d’une planete, de meme que,
dans certains cas, des soleils de couleurs differentes
eclairent une seule planete, tantot d’une lumiere rouge,
tantot d’une lumiere verte, puis de nouveau l’eclairent
simultanement et la baignent de rayons multicolores, de
meme nous autres hommes modernes, grace a la mecanique
compliquee de notre   voute etoilee  , nous sommes
determines 
par 
des 
morales 
diverses  ; 
nos 
actions
s’illuminent alternativement de couleurs differentes, elles
ont rarement un sens unique et il arrive assez frequemment
que nous agissions d’une facon multicolore.
216.
Aimer ses ennemis ? Je crois qu’on a bien appris cela ;
on le fait aujourd’hui de mille manieres, en petit et en
grand ; il arrive meme parfois quelque chose de plus haut et
de plus sublime  nous apprenons a mepriser quand nous
aimons et precisement quand nous aimons le mieux. Mais
tout cela inconsciemment, sans bruit et sans eclat, avec cette
pudeur et ce mystere du bien qui interdit de prononcer le
mot solennel et la formule consacree de la vertu. La morale
comme attitude  est aujourd’hui tout a fait contraire a
notre gout. C’est la un progres  ; de meme que pour nos
peres ce fut un progres quand enfin la religion comme
attitude devint contraire a leur gout, y compris l’inimitie et
l’amertume voltairienne a l’egard de la religion (et tout le
jargon et les gestes du libre-penseur de jadis). C’est la
musique dans notre conscience, c’est la danse dans notre"
218,165,"165
esprit, dont les litanies puritaines, les sermons de morale et
la vieille honnetete ne veulent pas s’accommoder.
217.
Se tenir en garde contre ceux qui attachent une grande
importance a ce qu’on leur accorde du tact moral et de la
delicatesse dans les distinctions morales  : ils ne nous
pardonneront jamais, s’il leur arrive de commettre une faute
devant nous (ou envers nous-memes peut-etre), alors ils
deviendront 
inevitablement 
nos 
calomniateurs 
et 
nos
detracteurs instinctifs, quand bien meme ils resteraient nos
  amis  .  Bienheureux les oublieux, car ils   s’en
tireront , meme de leurs betises.
218.
Les 
psychologues 
de 
France 
 
y 
a-t-il 
encore
aujourd’hui des psychologues ailleurs qu’en France  ? 
n’ont pas encore epuise leur verve amere et multiforme
contre la betise bourgeoise, comme si... Bref, c’est la le
symptome de quelque chose. Flaubert, par exemple, ce
brave bourgeois de Rouen, ne voyait, n’entendait et ne
sentait plus que cela a la fin :  c’etait pour lui un mode de
torture 
et 
de 
cruaute 
raffinee 
applique 
a 
lui-meme.
Maintenant, pour changer  car ce genre commence a
devenir ennuyeux,  je recommande autre chose a votre
enthousiasme  : c’est l’astuce inconsciente que prennent a
l’egard des esprits superieurs et de leur tache, tous les
braves cerveaux, tous les esprits epais de la bonne
moyenne, cette astuce delicate, crochue, jesuitique, mille
fois plus subtile que l’intelligence et le gout de cette classe"
219,166,"166
moyenne durant ses meilleurs moments  et meme que
l’intelligence de ses victimes. Ce qui prouve, une fois de
plus, 
que 
  l’instinct   
entre 
toutes 
les 
especes
d’intelligences decouvertes jusqu’ici est encore l’espece la
plus 
intelligente. 
Bref, 
etudiez, 
o 
psychologues, 
la
philosophie de  la regle  en lutte avec  l’exception  :
vous aurez sous les yeux un spectacle digne des dieux et de
la divine malice ! Ou bien pour m’exprimer plus clairement
encore : faites de la vivisection sur  l’homme bon , sur
 l’homo bon voluntatis ... sur vous !
219.
Le jugement et la condamnation morales sont un mode de
vengeance favori chez les intelligences bornees a l’egard
des intelligences qui le sont moins, c’est aussi une sorte
d’indemnite que s’octroient certaines gens envers qui la
nature s’est montree avare, et c’est enfin une occasion de
gagner de l’esprit et de la finesse. La mechancete rend
spirituel. Au fond de leur cur, il leur est doux de voir qu’il
existe un niveau qui place sur la meme ligne qu’eux-memes
les hommes combles des biens et des privileges de l’esprit.
Ils combattent pour   l’egalite de tous devant Dieu   et,
dans ce but, ils ont presque besoin de la foi en Dieu. C’est
parmi eux que se 
trouvent les adversaires les plus
convaincus de l’atheisme. Celui-la les mettrait en fureur qui
leur dirait  :   Une haute spiritualite ne se compare point
avec l’honnetete et la respectabilite, quelles qu’elles soient,
chez un homme qui ne serait que purement moral.  Je me
garderai bien de le faire. Je tenterais plutot de les flatter en"
220,167,"167
leur assurant qu’une haute spiritualite n’existe que comme
dernier produit des qualites morales  ; qu’elle est une
synthese de tous ces etats que l’on prete aux hommes
 purement moraux , lesquels les ont acquis, un a un, par
une longue discipline, un long exercice, peut-etre par toute
la filiere des generations  ; que la haute spiritualite est
precisement la spiritualisation de la justice et de cette
rigueur bienveillante qui se sait chargee de maintenir la
hierarchie dans le monde, meme parmi les choses  et non
pas seulement parmi les hommes.
220.
Aujourd’hui que la louange du desinteressement est si
populaire, il importe de se rendre compte, non sans danger
peut-etre, de ce qui, pour le peuple, est sujet d’interet et
quelles sont les choses dont se soucie veritablement et
d’une facon profonde le vulgaire. Nous y comprendrons les
gens cultives, les savants et meme, ou je me trompe fort, les
philosophes. Il ressort de cet examen que presque tout ce
qui ravit le gout delicat et raffine, tout ce qui interesse les
natures elevees, parait a l’homme moyen totalement
  depourvu d’interet  . S’il s’apercoit quand meme d’un
certain 
attachement 
a 
ces 
choses 
il 
qualifiera 
cet
attachement de desinteresse, et s’etonnera qu’il soit possible
d’agir   d’une facon desinteressee  . Il y a eu des
philosophes qui ont su preter encore a cet etonnement
populaire 
une 
expression 
seduisante, 
mystique 
et
supraterrestre ( peut-etre parce qu’ils ne connaissaient
pas par experience la nature plus elevee ? ), au lieu de"
221,168,"168
presenter la verite nue et facile et de dire franchement que
l’action  desinteressee  est une action tres interessante et
tres interessee, en admettant que...   Et l’amour ?  
Comment ! les actions qui ont l’amour pour mobile doivent
etre elles aussi  non-egoistes  ? Idiots que vous etes... !
  Et la louange de celui qui se sacrifie    ? Celui qui a
vraiment consomme des sacrifices sait que, par son
sacrifice, il cherchait une compensation et qu’il l’a trouvee
peut-etre voulait-il quelque chose de lui-meme pour autre
chose de lui-meme,  qu’il a donne ici pour recevoir
davantage la-bas, peut-etre pour devenir plus, peut-etre pour
se sentir   plus  qu’il n’etait. Mais c’est la un domaine,
jalonne de questions et de reponses, ou un esprit delicat
n’aime pas a s’arreter : tant la verite est forcee d’etouffer les
baillements quand il lui faut y repondre. Car, enfin, la verite
est femme : il ne faut pas lui faire violence.
221.
Il m’arrive, disait un pedant moraliste, marchand de
futilites, d’honorer et de traiter avec distinction un homme
desinteresse  ; non pourtant parce qu’il est tel, mais parce
qu’il me semble avoir le droit d’etre utile a un autre homme
a ses propres depens. En un mot, il s’agit toujours de savoir
qui est celui-ci et qui est celui-la. Pour celui qui aurait, par
exemple, ete destine et cree en vue du commandement,
l’humble effacement et l’abnegation ne seraient pas des
vertus, mais le gaspillage d’une vertu, a ce qu’il me semble.
Toute morale non-egoiste qui se croit absolue et s’applique
a chacun ne peche pas seulement contre le gout : elle est"
222,169,"169
une excitation aux peches d’omission, une seduction de plus
sous le masque de la philanthropie  et precisement une
seduction et un dommage envers les hommes superieurs,
rares et privilegies. Il faut forcer les morales a s’incliner
tout d’abord devant la hierarchie, il faut leur faire prendre a
cur leur arrogance jusqu’a ce qu’elles comprennent enfin
clairement qu’il est immoral de dire :  Ce qui est juste pour
l’un l’est aussi pour l’autre.  Ainsi parlait mon bonhomme
de pedant moraliste. Meritait-il qu’on se moquat de lui
lorsqu’il rappelait les morales a la moralite ? Mais il ne faut
pas avoir trop raison, si l’on veut avoir les rieurs de son
cote ; un petit soupcon de torts peut etre un indice de bon
gout.
222.
Partout ou l’on preche aujourd’hui la pitie,  et je ne
sache pas que l’on preche encore a present une autre
religion,  il faut que le psychologue ouvre les oreilles. A
travers toutes les vanites, tout le vacarme propre a ces
precheurs (comme a tous les precheurs), il entendra une
voix enrouee, haletante, la vraie voix du mepris de soi-
meme. Elle provient, si elle n’en est pas elle-meme la cause,
de cet assombrissement, de cet enlaidissement de l’Europe
qui, depuis un siecle deja, ne fait que croitre (et dont les
premiers symptomes sont signales dans une lettre si
profonde de Galiani a madame d’Epinay). L’homme des
 idees modernes , ce singe orgueilleux, est excessivement
mecontent de lui-meme  : cela est certain. Il patit, et sa
vanite permet seulement qu’il  com-patisse ..."
223,170,"170
223.
L’homme-mixture qui est l’Europeen  un assez vilain
plebeien, somme toute  a absolument besoin d’un
costume : il lui faut l’histoire en guise de garde-robe pour
ses costumes. Il s’apercoit, il est vrai, qu’aucun costume ne
lui va  il echange et entrechange sans cesse. Qu’on
examine bien le dix-neuvieme siecle dans ses predilections
ephemeres et sa mascarade bariolee de tous les styles, et
aussi dans son chagrin de s’apercevoir enfin que rien  n’est
a sa mesure     ! En vain prend-on le romantique, le
classique, le chretien, le florentin, le baroque ou le
 national , in moribus et artibus : rien n’ habille  ! Mais
l’esprit, en particulier l’ esprit historique , profite meme
de cette agitation desesperee. On recherche sans cesse un
nouveau lambeau du passe et de l’  exotisme  , on s’en
affuble, puis on s’en debarrasse, mais surtout on l’etudie.
Nous en sommes a la premiere periode studieuse pour ce
qui concerne les  costumes , c’est-a-dire les morales, les
articles de croyance, les gouts des arts et les religions. Nous
sommes prepares, comme on ne le fut en aucun autre temps,
a un carnaval de grand style, aux plus spirituels eclats de
rire et a la petulance du mardi gras, aux hauteurs
transcendantales des plus altieres insanites et de la raillerie
aristophanesque du monde. Peut-etre decouvrirons-nous
precisement ici le domaine de notre genie inventif, le
domaine ou l’originalite nous est encore possible, peut-etre
comme parodistes de l’histoire universelle et comme
polichinelles de Dieu,  peut-etre que, si des choses du"
224,171,"171
present rien d’autre n’a d’avenir, notre rire du moins aura-t-
il l’avenir pour lui !
224.
Le sens historique (ou la faculte de deviner rapidement la
hierarchie des appreciations d’apres lesquelles un peuple,
une societe, un homme ont vecu ; l’ instinct divinatoire 
des rapports de ces appreciations, de l’autorite des valeurs a
l’autorite des forces actives) : ce sens historique que nous
autres Europeens revendiquons comme notre specialite,
nous est venu a la suite de l’ensorcelante et folle demi-
barbarie ou l’Europe a ete precipitee par le melange
democratique des rangs et des races. Le dix-neuvieme siecle
est le premier qui connaisse ce sens devenu son sixieme
sens. Toutes les formes, toutes les manieres de vivre, toutes
les civilisations du passe, autrefois entassees les unes pres
des autres, les unes sur les autres, font invasion dans nos
 ames modernes , grace a cette confusion. Nos instincts
se dispersent maintenant de tous cotes, nous sommes nous-
memes une sorte de chaos ; enfin  l’esprit , je le repete,
finit par y trouver son profit. Par la demi-barbarie de notre
ame et de nos desirs, nous avons des echappees secretes de
toutes especes, telles qu’une epoque noble n’en a jamais eu,
surtout l’acces aux labyrinthes des civilisations incompletes
et aux enchevetrements de toutes les demi-barbaries qu’il y
eut jamais au monde. Et, dans la mesure ou la part la plus
importante de la culture fut jusqu’a present une demi-
barbarie, le  sens historique  signifie presque le sens et
l’instinct propres a comprendre toutes choses, le gout et le"
